OrderKey,LineNumber,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost
141004,4,1255,3,31.984,30.3848,16.304
141005,0,1622,7,131.4,131.4,43.536
141005,1,1736,1,19.6,19.6,9.996
141005,2,2084,3,71.2425,71.2425,36.3225
141005,3,1600,1,34.728,34.38072,15.972
141006,0,1315,6,328,328,150.832
141007,0,1606,2,95.994,84.47472,44.142
142000,0,1785,3,30.1,27.391,15.344
142000,1,187,2,103.92,93.528,34.432
142001,0,1427,1,414,414,190.386
142002,0,1648,1,65.994,60.71448,33.648
142002,1,1646,10,95.994,84.47472,44.142
142002,2,1269,6,79.936,71.9424,40.752
142002,3,1095,1,572.8,572.8,263.408
142002,4,174,3,103.92,93.528,34.432
142002,5,170,6,87.2,76.736,40.104
142003,0,417,9,1497.5,1497.5,688.65
142003,1,947,4,264,264,121.408
142004,0,1630,1,13.734,13.734,4.548
142005,0,1771,1,23.8,20.944,12.131
142005,1,1272,1,11.12,11.12,5.664
142005,2,87,3,74.9925,66.743325,34.485
142005,3,381,3,1747.5,1555.275,803.6
142006,0,1704,6,4.893,4.55049,2.492
142006,1,1640,2,13.734,13.734,4.548
142006,2,127,4,114.72,100.9536,58.488
142006,3,834,1,57.25,57.25,29.2
142007,0,156,1,375.976,375.976,172.896
142007,1,2062,3,149.9925,149.9925,68.9775
142007,2,437,10,1249.75,1174.765,637.15
142007,3,150,2,947.976,834.21888,314.08
142008,0,979,1,449.6,449.6,229.216
142008,1,1209,3,1408,1239.04,647.488
142008,2,163,4,1273.76,1120.9088,422.024
142008,3,1643,1,34.728,31.94976,15.972
142009,0,1442,1,952.2,952.2,315.486
142009,1,1612,2,107.994,107.994,49.662
142010,0,1821,2,22.4,19.936,11.417
142010,1,1307,3,108.8,108.8,50.032
142010,2,1885,2,1199.25,1151.28,611.415
142010,3,1036,6,295.2,295.2,135.744
142011,0,1709,4,49.091,49.091,22.575
142011,1,1581,7,131.4,131.4,43.536
142012,0,1780,7,30.1,26.789,15.344
142013,0,2503,6,17.982,17.982,9.162
142013,1,454,6,674.75,674.75,344
142013,2,1016,3,236.8,236.8,108.896
144000,0,1623,1,131.4,131.4,43.536
144000,1,118,1,135.992,135.992,69.336
144000,2,121,8,95.992,82.55312,48.936
144001,0,1293,3,952,952,315.424
144001,1,138,3,399.992,399.992,183.944
144002,0,1619,1,35.994,32.03466,16.554
144003,0,1776,7,30.1,30.1,15.344
144004,0,2486,3,300,273,137.9625
144004,1,1961,1,209.9925,209.9925,107.0625
144005,0,64,1,135.75,119.46,62.43
144005,1,188,7,93.52,93.52,43.008
144005,2,915,3,447.5,447.5,148.275
144005,3,180,1,55.2,55.2,28.144
145000,0,1609,4,155.994,138.83466,51.684
145001,0,55,2,222,195.36,73.5525
145001,1,62,6,135.75,119.46,62.43
145002,0,1656,10,95.994,83.51478,44.142
145003,0,171,3,79.2,79.2,36.424
145003,1,909,6,255,232.05,130
145004,0,1225,2,1600,1408,530.112
145005,0,1631,9,7.596,6.68448,3.492
145005,1,136,1,279.96,279.96,128.744
145006,0,1649,2,155.994,146.63436,51.684
145007,0,1649,4,155.994,140.3946,51.684
146000,0,145,5,2319.992,2319.992,768.656
146000,1,82,1,30.4125,30.4125,13.9875
146001,0,1802,1,22.4,20.384,11.417
146001,1,1703,1,3.773,3.35797,1.925
146002,0,1689,2,3.486,3.486,1.778
146003,0,1598,2,34.728,30.21336,15.972
146003,1,2114,3,193.125,193.125,98.46
146003,2,1851,4,749.925,749.925,382.335
146003,3,2071,2,74.9925,67.49325,38.235
146004,0,126,2,114.72,100.9536,58.488
146004,1,141,1,239.992,215.9928,122.352
146004,2,192,5,479.2,479.2,220.368
146005,0,1646,1,95.994,82.55484,44.142
146005,1,1483,2,484.2,440.622,222.66
146006,0,421,8,1172.5,1031.8,539.2
146006,1,1069,3,940.8,827.904,311.712
146006,2,1580,7,131.4,115.632,43.536
146007,0,651,2,290,290,133.35
146007,1,963,1,428.8,381.632,142.064
146008,0,1120,9,1051.2,914.544,348.288
146008,1,65,3,135.75,135.75,62.43
146009,0,2424,1,29.9925,25.79355,15.2925
147001,0,1099,1,572.8,521.248,263.408
147002,0,1819,3,22.4,20.16,11.417
147004,0,1587,2,10.794,10.47018,4.962
147005,0,1573,1,35.394,35.394,16.278
147005,1,2112,3,593.25,593.25,272.8125
147006,0,1816,1,22.4,22.4,11.417
147006,1,145,8,2319.992,2319.992,768.656
147006,2,1702,7,11.893,10.58477,3.941
147007,0,1633,4,8.334,8.00064,3.834
147007,1,1782,2,30.1,26.187,15.344
147008,0,1947,4,369.75,354.96,170.0325
147008,1,2165,2,559.4925,481.16355,257.2875
147008,2,1200,1,1600,1376,530.112
147009,0,1755,1,45.43,39.9784,23.163
147009,1,1598,3,34.728,34.728,15.972
147009,2,2057,1,134.9925,134.9925,62.0775
147009,3,788,4,28.75,27.3125,13.225
147009,4,19,5,82.4625,82.4625,37.92
147010,0,1232,2,1420.8,1278.72,653.376
148000,0,1576,1,7.794,7.794,3.972
148000,1,1029,3,320,275.2,106.016
148001,0,99,2,90,90,41.385
148002,0,1648,3,65.994,56.75484,33.648
148002,1,2156,3,111.75,100.575,56.97
148003,0,1579,6,131.4,120.888,43.536
148004,0,146,3,2319.992,2087.9928,768.656
148004,1,549,6,347.5,316.225,177.175
148004,2,1606,2,95.994,95.994,44.142
148004,3,1582,7,10.794,9.82254,4.962
148004,4,77,3,28.4625,28.4625,13.0875
148004,5,1614,7,155.994,146.63436,51.684
148005,0,455,2,2297.5,2297.5,761.2
148005,1,1287,1,124.784,124.784,63.616
148005,2,1651,6,95.994,95.03406,44.142
148006,0,1790,7,30.1,27.391,15.344
148006,1,158,4,879.992,774.39296,404.68
148006,2,1028,2,206.4,187.824,94.912
148006,3,41,7,174,165.3,80.0175
148006,5,467,1,347.5,347.5,159.8
148006,6,88,7,112.4925,101.24325,37.2675
148007,0,1077,7,908.8,872.448,301.104
148007,1,62,3,135.75,118.1025,62.43
148007,2,61,7,135.75,135.75,62.43
149000,0,137,5,399.992,399.992,183.944
149000,1,1774,1,30.1,30.1,15.344
149000,2,68,3,19.2675,19.2675,9.825
149000,3,1744,1,19.6,17.64,9.996
149000,4,1863,6,1492.425,1492.425,686.31
149000,5,2164,3,1237.5,1138.5,410.01
149001,0,1706,1,6.216,6.216,2.856
149002,0,1647,1,107.994,93.95478,49.662
149002,1,305,6,263.2,228.984,121.04
149003,0,1633,1,8.334,7.16724,3.834
149004,0,89,2,112.4925,112.4925,37.2675
149004,1,72,6,35.9625,31.647,16.5375
149004,2,2441,2,7.4925,6.5934,3.8175
149004,3,1574,1,35.994,35.994,16.554
149005,0,2096,1,658.125,658.125,302.6475
149005,1,2258,1,89.9925,79.1934,45.8775
149005,2,24,3,149.925,149.925,68.9475
149006,0,1166,5,264,264,134.592
149006,1,834,4,57.25,57.25,29.2
149006,2,418,9,674.875,600.63875,344.075
149007,0,1282,1,39.984,39.984,20.384
149008,0,1614,3,155.994,140.3946,51.684
149008,1,996,1,299.04,275.1168,137.52
149009,0,1671,2,3.493,3.24849,1.778
149009,1,2118,6,333.75,297.0375,153.48
149010,0,2516,3,6.03,5.6079,3.078
149010,1,2229,3,22.4925,22.4925,11.4675
149010,2,1646,2,95.994,87.35454,44.142
149010,3,1448,5,460.8,396.288,211.914
149010,4,1648,2,65.994,58.73466,33.648
149010,5,1657,6,107.994,107.994,49.662
149011,0,355,1,908.75,781.525,463.3
149012,0,2388,2,149.9925,130.493475,76.47
149012,1,1659,1,155.994,140.3946,51.684
149013,0,1622,1,131.4,120.888,43.536
149013,1,1171,1,1048,922.24,481.936
151000,0,170,1,87.2,78.48,40.104
151000,1,1278,1,23.984,23.984,12.224
151000,2,1308,3,44.8,40.768,22.848
151000,3,27,7,149.925,130.43475,68.9475
151001,0,88,3,112.4925,112.4925,37.2675
151001,1,734,1,372.5,365.05,171.3
151001,2,1235,3,1340.8,1193.312,616.592
151001,3,1681,1,4.823,4.29247,2.219
151002,0,182,1,95.2,95.2,43.776
151002,2,1680,3,4.893,4.30584,2.492
151002,3,2105,2,1106.25,1106.25,366.525
151003,0,416,1,2422.5,2277.15,802.625
151004,0,2032,1,149.9925,134.99325,68.9775
152000,0,1145,2,905.6,860.32,416.448
152000,1,2087,3,593.25,522.06,272.8125
152001,0,1002,1,236.8,236.8,108.896
152001,1,2177,1,559.4925,497.948325,257.2875
152001,2,1072,3,683.2,608.048,226.352
152001,3,1070,7,499.2,449.28,229.568
152002,0,1492,7,430.2,430.2,197.838
152002,1,2018,6,71.2425,61.980975,36.3225
152003,0,1081,2,908.8,836.096,301.104
152004,0,1689,1,3.486,3.45114,1.778
152004,1,1311,3,44.8,39.424,22.848
152004,2,1646,7,95.994,94.07412,44.142
152005,0,1436,3,464.4,399.384,213.57
152006,0,597,7,347.5,326.65,177.175
152007,0,1688,3,6.216,5.78088,2.856
152007,1,2095,1,1106.25,1106.25,366.525
153000,0,282,4,327.2,327.2,166.816
153000,1,2142,4,333.75,333.75,153.48
153000,2,1624,1,131.4,131.4,43.536
153001,0,135,6,279.96,240.7656,128.744
153001,1,50,2,149.9625,134.96625,68.9625
153001,2,1626,7,131.4,115.632,43.536
153001,3,1254,6,31.984,27.82608,16.304
153002,0,1237,6,284.8,264.864,145.2
153002,1,179,4,95.2,83.776,43.776
153003,0,1611,1,95.994,83.51478,44.142
153003,1,1068,1,683.2,683.2,226.352
153004,0,422,3,2422.5,2156.025,802.625
153004,1,1982,4,369.75,369.75,170.0325
153004,2,1585,8,13.734,13.734,4.548
153004,3,1672,1,11.823,11.35008,3.92
153005,0,1188,1,288,273.6,146.832
153005,1,1582,3,10.794,10.794,4.962
153006,0,252,3,288,288,146.832
153007,0,1572,1,34.794,32.35842,16.002
153008,0,956,4,316.8,272.448,145.68
153009,0,204,5,887.2,825.096,293.944
153009,1,2086,4,658.125,612.05625,302.6475
153009,2,132,6,160,145.6,81.576
154000,0,1850,2,1199.925,1199.925,611.76
154000,1,1266,2,79.936,79.936,40.752
154000,2,2036,2,71.2425,63.405825,36.3225
154000,3,1604,1,155.994,155.994,51.684
154001,0,1749,9,76.3,76.3,25.277
154001,1,1565,2,459,408.51,211.086
154002,0,2202,1,89.9925,85.492875,45.8775
154003,0,183,1,87.2,80.224,40.104
154004,0,1588,2,8.334,8.334,3.834
154005,0,2035,3,74.9925,74.9925,38.235
154005,1,1194,2,1012.8,911.52,465.744
154006,0,684,2,400,372,183.95
154006,1,1306,1,108.8,106.624,50.032
154006,2,1698,3,4.893,4.64835,2.492
154007,0,2040,3,104.9925,90.29355,53.5275
154007,1,1051,4,540.8,540.8,248.688
154007,2,1655,3,173.994,173.994,57.648
154008,0,136,3,279.96,249.1644,128.744
154008,1,657,3,372.5,357.6,171.3
154009,0,1601,5,95.994,95.994,44.142
154009,1,1716,6,49.091,49.091,22.575
154009,2,1900,3,224.9925,195.743475,114.705
154009,3,998,2,316.8,316.8,145.68
154010,0,1605,7,173.994,165.2943,57.648
154010,1,1660,2,173.994,167.03424,57.648
155000,0,148,1,2319.992,2041.59296,768.656
155000,1,1639,8,5.994,5.21478,3.054
155000,2,1272,2,11.12,10.008,5.664
155001,0,1513,3,484.2,484.2,222.66
155001,1,2506,3,8.532,7.59348,4.356
155001,2,182,3,95.2,91.392,43.776
155002,0,1096,1,1011.2,950.528,335.024
155003,0,1974,5,97.4925,97.4925,49.7025
155004,0,2511,1,7.308,6.43104,3.726
155005,0,1407,1,28.8,28.8,14.688
155005,1,1730,2,54.376,51.11344,25.004
155005,2,1681,2,4.823,4.43716,2.219
155006,0,1210,3,1376,1307.2,632.768
155006,1,1675,1,4.823,4.823,2.219
155006,2,1624,2,131.4,115.632,43.536
155006,3,1423,2,340.2,299.376,156.438
155007,0,1098,6,548.8,482.944,252.368
155007,1,1640,1,13.734,13.734,4.548
156000,0,1593,2,8.334,7.58394,3.834
156000,1,1697,4,3.773,3.47116,1.925
156000,2,157,2,879.992,774.39296,404.68
156000,3,2412,3,22.4925,22.4925,11.4675
156000,4,1266,1,79.936,68.74496,40.752
156000,5,1652,3,107.994,107.994,49.662
156001,0,1714,5,49.091,49.091,22.575
156001,1,71,2,35.9625,33.445125,16.5375
156001,2,533,1,697.5,648.675,320.75
156002,0,1311,1,44.8,44.8,22.848
156002,1,153,3,375.976,323.33936,172.896
156002,2,1647,2,107.994,93.95478,49.662
156003,0,155,8,375.976,375.976,172.896
156003,1,1397,4,48.582,48.582,22.338
156003,2,1312,4,328,321.44,150.832
156004,0,1667,1,3.85,3.85,1.96
156004,1,500,3,172.5,155.25,57.15
156004,2,1595,3,13.734,11.81124,4.548
156005,0,1966,3,224.9925,200.243325,114.705
156005,1,146,4,2319.992,2041.59296,768.656
156005,2,950,3,464,399.04,153.728
156005,3,1309,3,44.8,41.664,22.848
156005,4,1676,1,6.293,5.72663,2.891
156006,0,957,2,369.6,343.728,122.448
156007,0,1268,2,79.936,73.54112,40.752
156007,1,262,1,159.2,159.2,81.168
156008,0,52,6,149.9625,149.9625,68.9625
156009,0,1600,2,34.728,34.728,15.972
156009,1,1606,1,95.994,95.994,44.142
156010,0,1620,2,36.594,36.594,16.83
156010,1,210,5,239.2,212.888,121.952
156011,0,82,2,30.4125,27.067125,13.9875
156012,0,1583,3,8.334,8.334,3.834
156013,0,115,1,187.4925,166.868325,62.1225
156013,1,54,6,222,190.92,73.5525
158000,0,1638,2,8.334,8.334,3.834
158001,0,1552,2,716.4,630.432,237.366
158001,1,1579,8,131.4,131.4,43.536
158002,0,121,3,95.992,95.992,48.936
158003,0,53,1,222,204.24,73.5525
158003,1,1689,1,3.486,3.06768,1.778
158003,2,437,3,1249.75,1112.2775,637.15
158003,3,1307,1,108.8,94.656,50.032
158003,4,2009,2,134.9925,118.7934,62.0775
158004,0,98,5,90,82.8,41.385
158005,0,1576,3,7.794,7.794,3.972
159000,0,169,1,95.2,82.824,43.776
159000,1,1516,3,518.4,518.4,238.392
159001,0,1551,6,538.2,473.616,247.5
159001,1,55,1,222,222,73.5525
159001,2,411,2,1747.5,1712.55,803.6
159001,3,519,6,1547.5,1346.325,512.725
159002,0,1602,2,107.994,107.994,49.662
159002,1,1645,3,34.728,32.29704,15.972
159002,2,1154,2,1596.8,1389.216,529.056
159003,0,706,2,197.5,197.5,100.7
159003,1,1353,6,48.582,48.582,22.338
159004,0,1450,3,554.4,554.4,254.952
159005,0,1086,5,486.4,481.536,223.68
159005,1,928,6,84.975,84.975,43.325
159005,2,1625,6,131.4,115.632,43.536
159005,3,1812,1,22.4,22.4,11.417
159006,0,1571,2,34.194,34.194,15.726
159006,1,1765,7,419.16,419.16,138.873
159007,0,1591,1,7.596,7.596,3.492
159007,1,327,4,223.2,196.416,113.792
159007,2,1080,1,1033.6,909.568,342.448
160000,0,1614,7,155.994,138.83466,51.684
160000,1,128,1,114.72,114.72,58.488
160000,2,2497,1,17.982,15.64434,9.162
160000,3,2074,2,149.9925,134.99325,68.9775
160001,0,1723,4,39.2,39.2,19.985
160001,1,1603,1,65.994,65.33406,33.648
160002,0,582,2,747.5,665.275,343.75
160002,1,123,3,223.992,199.35288,103.008
160002,2,2081,1,134.9925,134.9925,62.0775
160003,0,1669,2,4.823,4.823,2.219
160004,0,1596,1,7.596,6.60852,3.492
160004,1,1154,6,1596.8,1437.12,529.056
160005,0,170,2,87.2,83.712,40.104
160005,1,1277,1,83.408,83.408,42.528
160005,2,1614,1,155.994,149.75424,51.684
160006,0,62,1,135.75,134.3925,62.43
160006,1,1686,1,4.893,4.30584,2.492
160006,2,1294,2,952,818.72,315.424
160006,3,1690,3,11.893,11.893,3.941
160006,4,1215,1,256,225.28,130.512
160006,5,1822,4,22.4,20.16,11.417
160006,6,1297,1,40,36.4,18.4
160007,0,125,6,114.72,114.72,58.488
160007,1,1517,3,480.6,475.794,221.004
160007,2,27,2,149.925,149.925,68.9475
160008,0,2111,1,658.125,579.15,302.6475
160008,1,981,2,301.6,265.408,138.688
160008,2,1596,2,7.596,6.98832,3.492
160009,0,2135,1,559.4925,492.3534,257.2875
160009,1,2095,6,1106.25,1106.25,366.525
160009,2,124,1,223.992,223.992,103.008
160009,3,1456,3,541.8,465.948,249.156
160010,0,1406,3,25.542,25.542,13.014
161000,0,277,3,384,360.96,195.776
161000,1,1313,4,328,318.16,150.832
161001,0,1573,3,35.394,35.394,16.278
161002,0,145,4,2319.992,2064.79288,768.656
161002,1,1674,9,4.893,4.893,2.492
161003,0,1124,4,1051.2,1009.152,348.288
161003,1,2101,6,658.125,658.125,302.6475
161003,2,1099,1,572.8,498.336,263.408
161003,3,1169,7,905.6,805.984,416.448
161003,4,2167,3,122.25,112.47,62.325
161003,5,125,1,114.72,114.72,58.488
161004,0,2081,5,134.9925,125.543025,62.0775
161004,1,98,3,90,79.2,41.385
161005,0,1572,4,34.794,34.794,16.002
161005,1,2115,2,658.125,618.6375,302.6475
161006,0,1675,1,4.823,4.823,2.219
161007,0,2081,1,134.9925,134.9925,62.0775
161007,1,1152,3,1600,1392,530.112
161007,2,2489,2,26.982,23.74416,13.752
161008,0,1306,2,108.8,95.744,50.032
161009,0,1637,3,10.794,10.794,4.962
161009,1,1712,2,49.091,46.14554,22.575
161010,0,442,5,674.75,593.78,344
162000,0,1591,2,7.596,7.596,3.492
162000,1,1691,2,3.773,3.32024,1.925
162000,2,70,2,35.9625,35.9625,16.5375
162001,0,1596,2,7.596,7.36812,3.492
162001,1,435,2,674.875,587.14125,344.075
162001,2,318,3,799.2,799.2,264.792
162002,0,1125,6,697.92,600.2112,231.232
162002,1,168,5,103.2,102.168,47.456
162002,2,2404,1,476.9925,457.9128,158.04
162002,3,123,1,223.992,223.992,103.008
162002,4,1263,6,111.984,103.02528,57.088
162002,5,76,3,28.4625,25.61625,13.0875
162003,0,1346,8,41.4,37.26,19.044
162003,1,1049,1,940.8,931.392,311.712
162003,2,1222,6,689.6,627.536,351.584
162003,3,1612,7,107.994,96.11466,49.662
162004,0,1898,2,674.25,674.25,310.065
162004,1,2143,8,122.25,110.025,62.325
162005,0,1696,1,11.893,10.7037,3.941
162006,0,1627,2,10.794,9.39078,4.962
162007,0,1794,2,30.1,26.187,15.344
162007,1,168,3,103.2,92.88,47.456
162007,2,1194,3,1012.8,1012.8,465.744
162007,3,1461,1,554.4,487.872,254.952
163000,0,145,1,2319.992,2319.992,768.656
163001,0,150,3,947.976,843.69864,314.08
163002,0,1648,1,65.994,65.994,33.648
163003,0,128,1,114.72,100.9536,58.488
163004,0,111,3,187.4925,187.4925,62.1225
163004,1,392,1,957.375,871.21125,488.1
163004,2,1626,2,131.4,131.4,43.536
163004,3,1176,5,1600,1424,530.112
163005,0,117,9,135.992,135.992,69.336
163005,1,1305,2,108.8,104.448,50.032
163005,2,137,1,399.992,371.99256,183.944
163006,0,2101,2,658.125,638.38125,302.6475
163007,0,1264,4,111.984,100.7856,57.088
163008,0,1528,6,543.6,500.112,180.108
163009,0,1789,2,30.1,27.09,15.344
163010,0,1092,8,1076.8,958.352,356.768
163010,1,1518,1,540,540,248.328
163010,2,1641,6,7.596,6.76044,3.492
163010,3,1654,1,155.994,137.27472,51.684
163010,4,1511,3,412.2,383.346,189.558
163011,0,1976,10,674.25,674.25,310.065
163011,1,1767,2,23.8,23.8,10.948
163012,0,1631,9,7.596,7.596,3.492
163012,1,2234,1,89.9925,79.1934,45.8775
163012,2,1485,5,414,401.58,190.386
163012,3,1626,2,131.4,126.144,43.536
163012,4,1585,3,13.734,12.22326,4.548
163013,0,1858,1,1492.425,1313.334,686.31
163013,1,1043,1,369.6,369.6,122.448
163013,2,1148,5,675.2,675.2,344.24
163013,3,479,8,647.5,641.025,297.775
165000,0,60,1,117,100.62,59.6475
165000,1,146,8,2319.992,2111.19272,768.656
165000,2,1609,1,155.994,143.51448,51.684
165000,3,1602,7,107.994,103.67424,49.662
165000,4,1589,2,5.994,5.994,3.054
165001,0,2055,3,499.455,499.455,165.48
165001,1,457,2,549.875,549.875,280.35
165002,0,94,2,50.55,50.55,25.77
165002,1,1575,2,36.594,32.20272,16.83
165003,0,1981,1,674.25,674.25,310.065
165004,0,154,3,375.976,375.976,172.896
165004,1,1696,2,11.893,10.7037,3.941
165005,0,433,3,2422.5,2398.275,802.625
166000,0,1633,2,8.334,8.334,3.834
166000,1,2099,6,193.125,177.675,98.46
166001,0,184,2,79.2,70.488,36.424
166002,0,1626,2,131.4,118.26,43.536
166003,0,1641,2,7.596,6.8364,3.492
166004,0,19,7,82.4625,72.567,37.92
166004,2,2005,2,74.9925,74.9925,38.235
166005,0,2105,2,1106.25,1062,366.525
166006,0,1644,3,34.728,30.21336,15.972
166006,1,1153,1,1598.4,1598.4,529.584
166006,2,1321,7,52.182,49.5729,23.994
166007,0,1658,3,65.994,58.73466,33.648
167000,0,167,1,55.2,55.2,28.144
167001,0,506,7,1697.5,1527.75,562.425
167001,1,1363,1,41.382,37.65762,19.026
167001,2,1714,2,49.091,45.16372,22.575
167002,0,1568,2,504,468.72,231.768
167002,1,176,1,101.52,101.52,46.688
167003,0,1034,10,464,403.68,153.728
167003,1,1590,7,13.734,12.22326,4.548
167003,2,135,2,279.96,279.96,128.744
167003,3,56,9,222,202.02,73.5525
167003,4,1645,2,34.728,34.728,15.972
167003,5,86,7,74.9925,74.9925,34.485
167004,0,1948,1,224.9925,197.9934,114.705
167005,0,190,2,45.52,40.968,23.208
167005,1,1646,1,95.994,95.03406,44.142
167005,2,516,8,225,195.75,74.55
167006,0,432,1,1249.75,1162.2675,637.15
167007,0,1605,1,173.994,160.07448,57.648
167007,1,187,2,103.92,91.4496,34.432
167007,2,38,1,224.4225,224.4225,74.355
167007,4,97,3,50.55,50.55,25.77
167007,5,1069,3,940.8,856.128,311.712
167008,0,1883,4,1491.75,1312.74,686.0025
167008,1,1455,2,522,522,240.048
167009,0,2516,1,6.03,5.3667,3.078
167010,0,1516,5,518.4,476.928,238.392
168000,0,1610,5,173.994,151.37478,57.648
168000,1,1648,1,65.994,65.994,33.648
168001,0,92,3,112.4925,109.117725,37.2675
168001,1,454,5,674.75,614.0225,344
168002,0,1659,7,155.994,155.994,51.684
168002,1,1523,1,538.2,473.616,247.5
168003,0,1632,5,10.794,9.49872,4.962
168004,0,1659,8,155.994,141.95454,51.684
168004,1,1136,2,768.8,676.544,254.72
168005,0,623,2,6247.5,5560.275,2069.925
168006,0,158,8,879.992,774.39296,404.68
168007,0,1000,3,206.4,206.4,94.912
168007,1,98,1,90,90,41.385
168008,0,153,4,375.976,357.1772,172.896
168009,0,167,7,55.2,48.576,28.144
168010,0,53,3,222,222,73.5525
168011,0,1600,1,34.728,32.64432,15.972
168011,1,362,6,3247.5,3215.025,1075.95
169000,0,272,3,263.2,234.248,134.184
169000,1,1866,4,749.925,659.934,382.335
169000,2,1697,1,3.773,3.773,1.925
169000,3,1122,1,531.2,525.888,244.288
169000,4,72,7,35.9625,35.9625,16.5375
169001,0,1872,1,1989,1790.1,658.995
169001,1,1677,4,3.493,3.493,1.778
169002,0,439,4,1397.5,1285.7,642.65
169002,1,1148,1,675.2,594.176,344.24
169002,2,1517,7,480.6,446.958,221.004
169003,0,1606,1,95.994,83.51478,44.142
169003,1,2001,2,499.455,499.455,165.48
169004,0,647,4,217.5,193.575,110.9
169004,1,1571,4,34.194,34.194,15.726
169004,2,326,9,239.2,210.496,121.952
169004,3,1637,1,10.794,10.794,4.962
169005,0,1578,2,131.4,131.4,43.536
169005,1,2432,3,21.8175,19.1994,11.1225
169005,2,2087,1,593.25,593.25,272.8125
169006,0,1656,5,95.994,82.55484,44.142
169006,1,610,1,272.5,250.7,138.925
169007,0,1302,5,152,135.28,69.904
169007,1,432,3,1249.75,1124.775,637.15
169007,2,73,6,35.9625,35.9625,16.5375
170000,0,1586,1,7.596,7.06428,3.492
170000,1,1496,2,518.4,518.4,238.392
170001,0,1303,1,152,136.8,69.904
170001,1,304,2,559.2,508.872,257.152
170001,2,2086,6,658.125,658.125,302.6475
170001,3,1643,1,34.728,34.728,15.972
170002,0,1078,3,502.4,502.4,231.04
170003,0,2098,1,381,369.57,194.2425
170003,1,1120,1,1051.2,925.056,348.288
170003,2,85,2,74.9925,66.743325,34.485
170004,0,446,1,549.875,549.875,280.35
170005,0,1056,1,1003.2,902.88,332.384
170005,1,131,5,160,140.8,81.576
170006,0,157,1,879.992,774.39296,404.68
170006,1,1681,1,4.823,4.38893,2.219
170006,2,524,7,447.5,398.275,205.8
170006,3,2040,4,104.9925,104.9925,53.5275
170006,4,973,8,320,297.6,106.016
170007,0,1691,9,3.773,3.24478,1.925
170007,1,182,1,95.2,94.248,43.776
170007,2,1957,3,2399.9925,2231.993025,795.165
170008,0,152,1,947.976,834.21888,314.08
