OrderKey,LineNumber,OrderDate,DeliveryDate,CustomerKey,StoreKey,ProductKey,Quantity,UnitPrice,NetPrice,UnitCost,CurrencyCode,ExchangeRate
141005,1,2016-05-20,2016-05-20,1653360,605,1736,1,19.6,19.6,9.996,USD,1.00000
141005,2,2016-05-20,2016-05-20,1653360,605,2084,3,71.2425,71.2425,36.3225,USD,1.00000
141005,3,2016-05-20,2016-05-20,1653360,605,1600,1,34.728,34.38072,15.972,USD,1.00000
141006,0,2016-05-20,2016-05-20,35688,50,1315,6,328,328,150.832,AUD,1.38328
141007,0,2016-05-20,2016-05-20,1953344,560,1606,2,95.994,84.47472,44.142,USD,1.00000
142000,0,2016-05-21,2016-05-21,1567626,630,1785,3,30.1,27.391,15.344,USD,1.00000
142000,1,2016-05-21,2016-05-21,1567626,630,187,2,103.92,93.528,34.432,USD,1.00000
142001,0,2016-05-21,2016-05-21,1779821,660,1427,1,414,414,190.386,USD,1.00000
142002,0,2016-05-21,2016-05-30,146515,999999,1648,1,65.994,60.71448,33.648,AUD,1.38328
142002,1,2016-05-21,2016-05-30,146515,999999,1646,10,95.994,84.47472,44.142,AUD,1.38328
142002,2,2016-05-21,2016-05-30,146515,999999,1269,6,79.936,71.9424,40.752,AUD,1.38328
142002,3,2016-05-21,2016-05-30,146515,999999,1095,1,572.8,572.8,263.408,AUD,1.38328
142002,4,2016-05-21,2016-05-30,146515,999999,174,3,103.92,93.528,34.432,AUD,1.38328
142002,5,2016-05-21,2016-05-30,146515,999999,170,6,87.2,76.736,40.104,AUD,1.38328
142003,0,2016-05-21,2016-05-27,259076,999999,417,9,1497.5,1497.5,688.65,CAD,1.31063
142003,1,2016-05-21,2016-05-27,259076,999999,947,4,264,264,121.408,CAD,1.31063
142004,0,2016-05-21,2016-05-21,1230622,550,1630,1,13.734,13.734,4.548,USD,1.00000
142005,0,2016-05-21,2016-05-21,872310,330,1771,1,23.8,20.944,12.131,EUR,0.89135
142005,1,2016-05-21,2016-05-21,872310,330,1272,1,11.12,11.12,5.664,EUR,0.89135
142005,2,2016-05-21,2016-05-21,872310,330,87,3,74.9925,66.743325,34.485,EUR,0.89135
142005,3,2016-05-21,2016-05-21,872310,330,381,3,1747.5,1555.275,803.6,EUR,0.89135
142006,0,2016-05-21,2016-05-21,1903300,540,1704,6,4.893,4.55049,2.492,USD,1.00000
142006,1,2016-05-21,2016-05-21,1903300,540,1640,2,13.734,13.734,4.548,USD,1.00000
142006,2,2016-05-21,2016-05-21,1903300,540,127,4,114.72,100.9536,58.488,USD,1.00000
142006,3,2016-05-21,2016-05-21,1903300,540,834,1,57.25,57.25,29.2,USD,1.00000
142007,0,2016-05-21,2016-05-21,1179168,360,156,1,375.976,375.976,172.896,GBP,0.68641
142007,1,2016-05-21,2016-05-21,1179168,360,2062,3,149.9925,149.9925,68.9775,GBP,0.68641
142007,2,2016-05-21,2016-05-21,1179168,360,437,10,1249.75,1174.765,637.15,GBP,0.68641
142007,3,2016-05-21,2016-05-21,1179168,360,150,2,947.976,834.21888,314.08,GBP,0.68641
142008,0,2016-05-21,2016-05-21,1660418,550,979,1,449.6,449.6,229.216,USD,1.00000
142008,1,2016-05-21,2016-05-21,1660418,550,1209,3,1408,1239.04,647.488,USD,1.00000
142008,2,2016-05-21,2016-05-21,1660418,550,163,4,1273.76,1120.9088,422.024,USD,1.00000
142008,3,2016-05-21,2016-05-21,1660418,550,1643,1,34.728,31.94976,15.972,USD,1.00000
142009,0,2016-05-21,2016-05-21,1062996,410,1442,1,952.2,952.2,315.486,GBP,0.68641
142009,1,2016-05-21,2016-05-21,1062996,410,1612,2,107.994,107.994,49.662,GBP,0.68641
142010,0,2016-05-21,2016-05-21,718330,300,1821,2,22.4,19.936,11.417,EUR,0.89135
142010,1,2016-05-21,2016-05-21,718330,300,1307,3,108.8,108.8,50.032,EUR,0.89135
142010,2,2016-05-21,2016-05-21,718330,300,1885,2,1199.25,1151.28,611.415,EUR,0.89135
142010,3,2016-05-21,2016-05-21,718330,300,1036,6,295.2,295.2,135.744,EUR,0.89135
142011,0,2016-05-21,2016-05-21,887596,330,1709,4,49.091,49.091,22.575,EUR,0.89135
142011,1,2016-05-21,2016-05-21,887596,330,1581,7,131.4,131.4,43.536,EUR,0.89135
142012,0,2016-05-21,2016-05-21,723102,290,1780,7,30.1,26.789,15.344,EUR,0.89135
142013,0,2016-05-21,2016-05-21,600813,140,2503,6,17.982,17.982,9.162,EUR,0.89135
142013,1,2016-05-21,2016-05-21,600813,140,454,6,674.75,674.75,344,EUR,0.89135
142013,2,2016-05-21,2016-05-21,600813,140,1016,3,236.8,236.8,108.896,EUR,0.89135
144000,0,2016-05-23,2016-05-23,455239,220,1623,1,131.4,131.4,43.536,EUR,0.89166
144000,1,2016-05-23,2016-05-23,455239,220,118,1,135.992,135.992,69.336,EUR,0.89166
144000,2,2016-05-23,2016-05-23,455239,220,121,8,95.992,82.55312,48.936,EUR,0.89166
144001,0,2016-05-23,2016-05-23,1518866,660,1293,3,952,952,315.424,USD,1.00000
144001,1,2016-05-23,2016-05-23,1518866,660,138,3,399.992,399.992,183.944,USD,1.00000
144002,0,2016-05-23,2016-05-23,1589353,480,1619,1,35.994,32.03466,16.554,USD,1.00000
144003,0,2016-05-23,2016-05-23,1536166,480,1776,7,30.1,30.1,15.344,USD,1.00000
144004,0,2016-05-23,2016-05-23,449530,270,2486,3,300,273,137.9625,EUR,0.89166
144004,1,2016-05-23,2016-05-23,449530,270,1961,1,209.9925,209.9925,107.0625,EUR,0.89166
144005,0,2016-05-23,2016-05-23,632624,120,64,1,135.75,119.46,62.43,EUR,0.89166
144005,1,2016-05-23,2016-05-23,632624,120,188,7,93.52,93.52,43.008,EUR,0.89166
144005,2,2016-05-23,2016-05-23,632624,120,915,3,447.5,447.5,148.275,EUR,0.89166
144005,3,2016-05-23,2016-05-23,632624,120,180,1,55.2,55.2,28.144,EUR,0.89166
145000,0,2016-05-24,2016-06-09,1326013,999999,1609,4,155.994,138.83466,51.684,USD,1.00000
145001,0,2016-05-24,2016-05-24,1380442,660,55,2,222,195.36,73.5525,USD,1.00000
145001,1,2016-05-24,2016-05-24,1380442,660,62,6,135.75,119.46,62.43,USD,1.00000
145002,0,2016-05-24,2016-06-05,287165,999999,1656,10,95.994,83.51478,44.142,CAD,1.31483
145003,0,2016-05-24,2016-05-24,777665,280,171,3,79.2,79.2,36.424,EUR,0.89542
145003,1,2016-05-24,2016-05-24,777665,280,909,6,255,232.05,130,EUR,0.89542
145004,0,2016-05-24,2016-05-24,408088,240,1225,2,1600,1408,530.112,EUR,0.89542
145005,0,2016-05-24,2016-05-30,1625343,999999,1631,9,7.596,6.68448,3.492,USD,1.00000
145005,1,2016-05-24,2016-05-30,1625343,999999,136,1,279.96,279.96,128.744,USD,1.00000
145006,0,2016-05-24,2016-05-24,1500602,440,1649,2,155.994,146.63436,51.684,USD,1.00000
145007,0,2016-05-24,2016-05-24,364187,100,1649,4,155.994,140.3946,51.684,CAD,1.31483
146000,0,2016-05-25,2016-05-25,1798305,450,145,5,2319.992,2319.992,768.656,USD,1.00000
146000,1,2016-05-25,2016-05-25,1798305,450,82,1,30.4125,30.4125,13.9875,USD,1.00000
146001,0,2016-05-25,2016-05-25,571063,220,1802,1,22.4,20.384,11.417,EUR,0.89718
146001,1,2016-05-25,2016-05-25,571063,220,1703,1,3.773,3.35797,1.925,EUR,0.89718
146002,0,2016-05-25,2016-05-25,556212,240,1689,2,3.486,3.486,1.778,EUR,0.89718
146003,0,2016-05-25,2016-06-07,1871172,999999,1598,2,34.728,30.21336,15.972,USD,1.00000
146003,1,2016-05-25,2016-06-07,1871172,999999,2114,3,193.125,193.125,98.46,USD,1.00000
146003,2,2016-05-25,2016-06-07,1871172,999999,1851,4,749.925,749.925,382.335,USD,1.00000
146003,3,2016-05-25,2016-06-07,1871172,999999,2071,2,74.9925,67.49325,38.235,USD,1.00000
146004,0,2016-05-25,2016-05-25,584687,255,126,2,114.72,100.9536,58.488,EUR,0.89718
146004,1,2016-05-25,2016-05-25,584687,255,141,1,239.992,215.9928,122.352,EUR,0.89718
146004,2,2016-05-25,2016-05-25,584687,255,192,5,479.2,479.2,220.368,EUR,0.89718
146005,0,2016-05-25,2016-05-25,647788,180,1646,1,95.994,82.55484,44.142,EUR,0.89718
146005,1,2016-05-25,2016-05-25,647788,180,1483,2,484.2,440.622,222.66,EUR,0.89718
146006,0,2016-05-25,2016-05-25,1470773,480,421,8,1172.5,1031.8,539.2,USD,1.00000
146006,1,2016-05-25,2016-05-25,1470773,480,1069,3,940.8,827.904,311.712,USD,1.00000
146006,2,2016-05-25,2016-05-25,1470773,480,1580,7,131.4,115.632,43.536,USD,1.00000
146007,0,2016-05-25,2016-05-25,1962237,480,651,2,290,290,133.35,USD,1.00000
146007,1,2016-05-25,2016-05-25,1962237,480,963,1,428.8,381.632,142.064,USD,1.00000
146008,0,2016-05-25,2016-06-06,260153,999999,1120,9,1051.2,914.544,348.288,CAD,1.31060
146008,1,2016-05-25,2016-06-06,260153,999999,65,3,135.75,135.75,62.43,CAD,1.31060
146009,0,2016-05-25,2016-05-25,700982,280,2424,1,29.9925,25.79355,15.2925,EUR,0.89718
147001,0,2016-05-26,2016-05-26,1665049,550,1099,1,572.8,521.248,263.408,USD,1.00000
147002,0,2016-05-26,2016-05-26,1876222,630,1819,3,22.4,20.16,11.417,USD,1.00000
147004,0,2016-05-26,2016-05-26,1462046,440,1587,2,10.794,10.47018,4.962,USD,1.00000
147005,0,2016-05-26,2016-05-26,1140125,360,1573,1,35.394,35.394,16.278,GBP,0.68025
147005,1,2016-05-26,2016-05-26,1140125,360,2112,3,593.25,593.25,272.8125,GBP,0.68025
147006,0,2016-05-26,2016-05-26,1719626,550,1816,1,22.4,22.4,11.417,USD,1.00000
147006,1,2016-05-26,2016-05-26,1719626,550,145,8,2319.992,2319.992,768.656,USD,1.00000
147006,2,2016-05-26,2016-05-26,1719626,550,1702,7,11.893,10.58477,3.941,USD,1.00000
147007,0,2016-05-26,2016-05-26,1318792,440,1633,4,8.334,8.00064,3.834,USD,1.00000
147007,1,2016-05-26,2016-05-26,1318792,440,1782,2,30.1,26.187,15.344,USD,1.00000
147008,0,2016-05-26,2016-05-26,1227178,510,1947,4,369.75,354.96,170.0325,USD,1.00000
147008,1,2016-05-26,2016-05-26,1227178,510,2165,2,559.4925,481.16355,257.2875,USD,1.00000
147008,2,2016-05-26,2016-05-26,1227178,510,1200,1,1600,1376,530.112,USD,1.00000
147009,0,2016-05-26,2016-06-07,579982,999999,1755,1,45.43,39.9784,23.163,EUR,0.89542
147009,1,2016-05-26,2016-06-07,579982,999999,1598,3,34.728,34.728,15.972,EUR,0.89542
147009,2,2016-05-26,2016-06-07,579982,999999,2057,1,134.9925,134.9925,62.0775,EUR,0.89542
147009,3,2016-05-26,2016-06-07,579982,999999,788,4,28.75,27.3125,13.225,EUR,0.89542
147009,4,2016-05-26,2016-06-07,579982,999999,19,5,82.4625,82.4625,37.92,EUR,0.89542
147010,0,2016-05-26,2016-05-26,1230892,550,1232,2,1420.8,1278.72,653.376,USD,1.00000
148000,0,2016-05-27,2016-05-27,166973,60,1576,1,7.794,7.794,3.972,AUD,1.38637
148000,1,2016-05-27,2016-05-27,166973,60,1029,3,320,275.2,106.016,AUD,1.38637
148001,0,2016-05-27,2016-05-27,1824624,660,99,2,90,90,41.385,USD,1.00000
148002,0,2016-05-27,2016-05-27,567908,200,1648,3,65.994,56.75484,33.648,EUR,0.89542
148002,1,2016-05-27,2016-05-27,567908,200,2156,3,111.75,100.575,56.97,EUR,0.89542
148003,0,2016-05-27,2016-05-27,1540950,470,1579,6,131.4,120.888,43.536,USD,1.00000
148004,0,2016-05-27,2016-05-27,1947307,585,146,3,2319.992,2087.9928,768.656,USD,1.00000
148004,1,2016-05-27,2016-05-27,1947307,585,549,6,347.5,316.225,177.175,USD,1.00000
148004,2,2016-05-27,2016-05-27,1947307,585,1606,2,95.994,95.994,44.142,USD,1.00000
148004,3,2016-05-27,2016-05-27,1947307,585,1582,7,10.794,9.82254,4.962,USD,1.00000
148004,4,2016-05-27,2016-05-27,1947307,585,77,3,28.4625,28.4625,13.0875,USD,1.00000
148004,5,2016-05-27,2016-05-27,1947307,585,1614,7,155.994,146.63436,51.684,USD,1.00000
148005,0,2016-05-27,2016-05-27,329861,72,455,2,2297.5,2297.5,761.2,CAD,1.30372
148005,1,2016-05-27,2016-05-27,329861,72,1287,1,124.784,124.784,63.616,CAD,1.30372
148005,2,2016-05-27,2016-05-27,329861,72,1651,6,95.994,95.03406,44.142,CAD,1.30372
148006,0,2016-05-27,2016-05-27,91603,35,1790,7,30.1,27.391,15.344,AUD,1.38637
148006,1,2016-05-27,2016-05-27,91603,35,158,4,879.992,774.39296,404.68,AUD,1.38637
148006,2,2016-05-27,2016-05-27,91603,35,1028,2,206.4,187.824,94.912,AUD,1.38637
148006,3,2016-05-27,2016-05-27,91603,35,41,7,174,165.3,80.0175,AUD,1.38637
148006,5,2016-05-27,2016-05-27,91603,35,467,1,347.5,347.5,159.8,AUD,1.38637
148006,6,2016-05-27,2016-05-27,91603,35,88,7,112.4925,101.24325,37.2675,AUD,1.38637
148007,0,2016-05-27,2016-05-27,524846,240,1077,7,908.8,872.448,301.104,EUR,0.89542
148007,1,2016-05-27,2016-05-27,524846,240,62,3,135.75,118.1025,62.43,EUR,0.89542
148007,2,2016-05-27,2016-05-27,524846,240,61,7,135.75,135.75,62.43,EUR,0.89542
149000,0,2016-05-28,2016-05-28,1756413,605,137,5,399.992,399.992,183.944,USD,1.00000
149000,1,2016-05-28,2016-05-28,1756413,605,1774,1,30.1,30.1,15.344,USD,1.00000
149000,2,2016-05-28,2016-05-28,1756413,605,68,3,19.2675,19.2675,9.825,USD,1.00000
149000,3,2016-05-28,2016-05-28,1756413,605,1744,1,19.6,17.64,9.996,USD,1.00000
149000,4,2016-05-28,2016-05-28,1756413,605,1863,6,1492.425,1492.425,686.31,USD,1.00000
149000,5,2016-05-28,2016-05-28,1756413,605,2164,3,1237.5,1138.5,410.01,USD,1.00000
149001,0,2016-05-28,2016-06-03,1833255,999999,1706,1,6.216,6.216,2.856,USD,1.00000
149002,0,2016-05-28,2016-05-28,2066169,550,1647,1,107.994,93.95478,49.662,USD,1.00000
149002,1,2016-05-28,2016-05-28,2066169,550,305,6,263.2,228.984,121.04,USD,1.00000
149003,0,2016-05-28,2016-05-28,1097116,400,1633,1,8.334,7.16724,3.834,GBP,0.68271
149004,0,2016-05-28,2016-05-28,1821381,610,89,2,112.4925,112.4925,37.2675,USD,1.00000
149004,1,2016-05-28,2016-05-28,1821381,610,72,6,35.9625,31.647,16.5375,USD,1.00000
149004,2,2016-05-28,2016-05-28,1821381,610,2441,2,7.4925,6.5934,3.8175,USD,1.00000
149004,3,2016-05-28,2016-05-28,1821381,610,1574,1,35.994,35.994,16.554,USD,1.00000
149005,0,2016-05-28,2016-05-28,1820013,560,2096,1,658.125,658.125,302.6475,USD,1.00000
149005,1,2016-05-28,2016-05-28,1820013,560,2258,1,89.9925,79.1934,45.8775,USD,1.00000
149005,2,2016-05-28,2016-05-28,1820013,560,24,3,149.925,149.925,68.9475,USD,1.00000
149006,0,2016-05-28,2016-05-28,224202,100,1166,5,264,264,134.592,CAD,1.30372
149006,1,2016-05-28,2016-05-28,224202,100,834,4,57.25,57.25,29.2,CAD,1.30372
149006,2,2016-05-28,2016-05-28,224202,100,418,9,674.875,600.63875,344.075,CAD,1.30372
149007,0,2016-05-28,2016-05-28,1279807,585,1282,1,39.984,39.984,20.384,USD,1.00000
149008,0,2016-05-28,2016-05-28,547103,200,1614,3,155.994,140.3946,51.684,EUR,0.89542
149008,1,2016-05-28,2016-05-28,547103,200,996,1,299.04,275.1168,137.52,EUR,0.89542
149009,0,2016-05-28,2016-05-28,820674,340,1671,2,3.493,3.24849,1.778,EUR,0.89542
149009,1,2016-05-28,2016-05-28,820674,340,2118,6,333.75,297.0375,153.48,EUR,0.89542
149010,0,2016-05-28,2016-05-28,1295481,540,2516,3,6.03,5.6079,3.078,USD,1.00000
149010,1,2016-05-28,2016-05-28,1295481,540,2229,3,22.4925,22.4925,11.4675,USD,1.00000
149010,2,2016-05-28,2016-05-28,1295481,540,1646,2,95.994,87.35454,44.142,USD,1.00000
149010,3,2016-05-28,2016-05-28,1295481,540,1448,5,460.8,396.288,211.914,USD,1.00000
149010,4,2016-05-28,2016-05-28,1295481,540,1648,2,65.994,58.73466,33.648,USD,1.00000
149010,5,2016-05-28,2016-05-28,1295481,540,1657,6,107.994,107.994,49.662,USD,1.00000
149011,0,2016-05-28,2016-05-28,1126671,360,355,1,908.75,781.525,463.3,GBP,0.68271
149012,0,2016-05-28,2016-05-28,1133567,370,2388,2,149.9925,130.493475,76.47,GBP,0.68271
149012,1,2016-05-28,2016-05-28,1133567,370,1659,1,155.994,140.3946,51.684,GBP,0.68271
149013,0,2016-05-28,2016-06-07,144563,999999,1622,1,131.4,120.888,43.536,AUD,1.38637
149013,1,2016-05-28,2016-06-07,144563,999999,1171,1,1048,922.24,481.936,AUD,1.38637
151000,0,2016-05-30,2016-05-30,274440,80,170,1,87.2,78.48,40.104,CAD,1.30389
151000,1,2016-05-30,2016-05-30,274440,80,1278,1,23.984,23.984,12.224,CAD,1.30389
151000,2,2016-05-30,2016-05-30,274440,80,1308,3,44.8,40.768,22.848,CAD,1.30389
151000,3,2016-05-30,2016-05-30,274440,80,27,7,149.925,130.43475,68.9475,CAD,1.30389
151001,0,2016-05-30,2016-05-30,376506,80,88,3,112.4925,112.4925,37.2675,CAD,1.30389
151001,1,2016-05-30,2016-05-30,376506,80,734,1,372.5,365.05,171.3,CAD,1.30389
151001,2,2016-05-30,2016-05-30,376506,80,1235,3,1340.8,1193.312,616.592,CAD,1.30389
151001,3,2016-05-30,2016-05-30,376506,80,1681,1,4.823,4.29247,2.219,CAD,1.30389
151002,0,2016-05-30,2016-05-30,1439423,650,182,1,95.2,95.2,43.776,USD,1.00000
151002,2,2016-05-30,2016-05-30,1439423,650,1680,3,4.893,4.30584,2.492,USD,1.00000
151002,3,2016-05-30,2016-05-30,1439423,650,2105,2,1106.25,1106.25,366.525,USD,1.00000
151003,0,2016-05-30,2016-05-30,1101729,360,416,1,2422.5,2277.15,802.625,GBP,0.68341
151004,0,2016-05-30,2016-05-30,932198,360,2032,1,149.9925,134.99325,68.9775,GBP,0.68341
152000,0,2016-05-31,2016-05-31,1709162,540,1145,2,905.6,860.32,416.448,USD,1.00000
152000,1,2016-05-31,2016-05-31,1709162,540,2087,3,593.25,522.06,272.8125,USD,1.00000
152001,0,2016-05-31,2016-06-12,554601,999999,1002,1,236.8,236.8,108.896,EUR,0.89654
152001,1,2016-05-31,2016-06-12,554601,999999,2177,1,559.4925,497.948325,257.2875,EUR,0.89654
152001,2,2016-05-31,2016-06-12,554601,999999,1072,3,683.2,608.048,226.352,EUR,0.89654
152001,3,2016-05-31,2016-06-12,554601,999999,1070,7,499.2,449.28,229.568,EUR,0.89654
152002,0,2016-05-31,2016-05-31,1267421,630,1492,7,430.2,430.2,197.838,USD,1.00000
152002,1,2016-05-31,2016-05-31,1267421,630,2018,6,71.2425,61.980975,36.3225,USD,1.00000
152003,0,2016-05-31,2016-06-08,1629889,999999,1081,2,908.8,836.096,301.104,USD,1.00000
152004,0,2016-05-31,2016-05-31,487833,220,1689,1,3.486,3.45114,1.778,EUR,0.89654
152004,1,2016-05-31,2016-05-31,487833,220,1311,3,44.8,39.424,22.848,EUR,0.89654
152004,2,2016-05-31,2016-05-31,487833,220,1646,7,95.994,94.07412,44.142,EUR,0.89654
152005,0,2016-05-31,2016-05-31,1835658,650,1436,3,464.4,399.384,213.57,USD,1.00000
152006,0,2016-05-31,2016-05-31,1404811,510,597,7,347.5,326.65,177.175,USD,1.00000
152007,0,2016-05-31,2016-05-31,648962,150,1688,3,6.216,5.78088,2.856,EUR,0.89654
152007,1,2016-05-31,2016-05-31,648962,150,2095,1,1106.25,1106.25,366.525,EUR,0.89654
153000,0,2016-06-01,2016-06-01,872828,310,282,4,327.2,327.2,166.816,EUR,0.89493
153000,1,2016-06-01,2016-06-01,872828,310,2142,4,333.75,333.75,153.48,EUR,0.89493
153000,2,2016-06-01,2016-06-01,872828,310,1624,1,131.4,131.4,43.536,EUR,0.89493
153001,0,2016-06-01,2016-06-10,1743440,999999,135,6,279.96,240.7656,128.744,USD,1.00000
153001,1,2016-06-01,2016-06-10,1743440,999999,50,2,149.9625,134.96625,68.9625,USD,1.00000
