OrderKey,CustomerKey,StoreKey,OrderDate,DeliveryDate,CurrencyCode
153000,872828,310,2016-06-01,2016-06-01,EUR
153001,1743440,999999,2016-06-01,2016-06-10,USD
153002,1231114,570,2016-06-01,2016-06-01,USD
153003,1213219,510,2016-06-01,2016-06-01,USD
153004,1435961,500,2016-06-01,2016-06-01,USD
153005,1777553,999999,2016-06-01,2016-06-13,USD
153006,1600847,670,2016-06-01,2016-06-01,USD
153007,801922,330,2016-06-01,2016-06-01,EUR
153008,1570402,590,2016-06-01,2016-06-01,USD
153009,545955,270,2016-06-01,2016-06-01,EUR
154000,509727,999999,2016-06-02,2016-06-09,EUR
154001,835582,340,2016-06-02,2016-06-02,EUR
154002,1440545,605,2016-06-02,2016-06-02,USD
154003,774449,300,2016-06-02,2016-06-02,EUR
154004,973752,999999,2016-06-02,2016-06-11,GBP
154005,1630904,590,2016-06-02,2016-06-02,USD
154006,229575,90,2016-06-02,2016-06-02,CAD
154007,1910293,510,2016-06-02,2016-06-02,USD
154008,1386253,585,2016-06-02,2016-06-02,USD
154009,30316,60,2016-06-02,2016-06-02,AUD
154010,941776,370,2016-06-02,2016-06-02,GBP
155000,1562689,670,2016-06-03,2016-06-03,USD
155001,760278,290,2016-06-03,2016-06-03,EUR
155002,1102280,370,2016-06-03,2016-06-03,GBP
155003,1149550,400,2016-06-03,2016-06-03,GBP
155004,1716324,480,2016-06-03,2016-06-03,USD
155005,159549,40,2016-06-03,2016-06-03,AUD
155006,339959,100,2016-06-03,2016-06-03,CAD
155007,1711183,550,2016-06-03,2016-06-03,USD
156000,1683623,999999,2016-06-04,2016-06-09,USD
156001,270911,999999,2016-06-04,2016-06-12,CAD
156002,48477,35,2016-06-04,2016-06-04,AUD
156003,163217,999999,2016-06-04,2016-06-15,AUD
156004,2031151,670,2016-06-04,2016-06-04,USD
156005,779966,300,2016-06-04,2016-06-04,EUR
156006,228508,90,2016-06-04,2016-06-04,CAD
156007,1083511,999999,2016-06-04,2016-06-11,GBP
156008,1322429,670,2016-06-04,2016-06-04,USD
156009,1195457,390,2016-06-04,2016-06-04,GBP
156010,211499,90,2016-06-04,2016-06-04,CAD
156011,229519,72,2016-06-04,2016-06-04,CAD
156012,1141369,999999,2016-06-04,2016-06-15,GBP
156013,1288226,440,2016-06-04,2016-06-04,USD
158000,1222858,660,2016-06-06,2016-06-06,USD
158001,1048441,370,2016-06-06,2016-06-06,GBP
158002,1155587,410,2016-06-06,2016-06-06,GBP
158003,2064169,610,2016-06-06,2016-06-06,USD
158004,776059,290,2016-06-06,2016-06-06,EUR
158005,1345638,585,2016-06-06,2016-06-06,USD
159000,1636260,500,2016-06-07,2016-06-07,USD
159001,1456831,670,2016-06-07,2016-06-07,USD
159002,1789359,470,2016-06-07,2016-06-07,USD
159003,1499377,540,2016-06-07,2016-06-07,USD
159004,1979337,605,2016-06-07,2016-06-07,USD
159005,1559237,999999,2016-06-07,2016-06-20,USD
159006,903714,410,2016-06-07,2016-06-07,GBP
159007,1765184,440,2016-06-07,2016-06-07,USD
160000,1073775,380,2016-06-08,2016-06-08,GBP
160001,269413,100,2016-06-08,2016-06-08,CAD
160002,1758483,999999,2016-06-08,2016-06-19,USD
160003,230055,72,2016-06-08,2016-06-08,CAD
160004,1822921,605,2016-06-08,2016-06-08,USD
160005,1580164,585,2016-06-08,2016-06-08,USD
160006,1401555,670,2016-06-08,2016-06-08,USD
160007,1654207,470,2016-06-08,2016-06-08,USD
160008,199357,50,2016-06-08,2016-06-08,AUD
160009,776319,300,2016-06-08,2016-06-08,EUR
160010,238703,999999,2016-06-08,2016-06-16,CAD
161000,216012,72,2016-06-09,2016-06-09,CAD
161001,1618277,450,2016-06-09,2016-06-09,USD
161002,1372161,670,2016-06-09,2016-06-09,USD
161003,1638429,530,2016-06-09,2016-06-09,USD
161004,229871,100,2016-06-09,2016-06-09,CAD
161005,489022,190,2016-06-09,2016-06-09,EUR
161006,1100944,360,2016-06-09,2016-06-09,GBP
161007,26765,50,2016-06-09,2016-06-09,AUD
161008,1300182,440,2016-06-09,2016-06-09,USD
161009,758596,290,2016-06-09,2016-06-09,EUR
161010,707250,300,2016-06-09,2016-06-09,EUR
162000,1569617,450,2016-06-10,2016-06-10,USD
162001,214796,90,2016-06-10,2016-06-10,CAD
162002,339947,90,2016-06-10,2016-06-10,CAD
162003,1117914,999999,2016-06-10,2016-06-15,GBP
162004,466568,220,2016-06-10,2016-06-10,EUR
162005,1939935,560,2016-06-10,2016-06-10,USD
162006,1080957,420,2016-06-10,2016-06-10,GBP
162007,568892,190,2016-06-10,2016-06-10,EUR
163000,707267,300,2016-06-11,2016-06-11,EUR
163001,1207354,999999,2016-06-11,2016-06-22,USD
163002,1845151,440,2016-06-11,2016-06-11,USD
163003,743132,290,2016-06-11,2016-06-11,EUR
163004,1957181,605,2016-06-11,2016-06-11,USD
163005,943146,400,2016-06-11,2016-06-11,GBP
163006,1880680,510,2016-06-11,2016-06-11,USD
163007,453904,230,2016-06-11,2016-06-11,EUR
163008,457695,255,2016-06-11,2016-06-11,EUR
163009,632666,140,2016-06-11,2016-06-11,EUR
163010,1845343,550,2016-06-11,2016-06-11,USD
163011,445690,270,2016-06-11,2016-06-11,EUR
163012,1141253,999999,2016-06-11,2016-06-23,GBP
163013,1089854,420,2016-06-11,2016-06-11,GBP
165000,1276515,999999,2016-06-13,2016-06-25,USD
165001,2008910,610,2016-06-13,2016-06-13,USD
165002,1439033,650,2016-06-13,2016-06-13,USD
165003,925308,999999,2016-06-13,2016-06-20,GBP
165004,1403813,999999,2016-06-13,2016-06-23,USD
165005,456182,230,2016-06-13,2016-06-13,EUR
166000,1269285,570,2016-06-14,2016-06-14,USD
166001,368086,999999,2016-06-14,2016-06-24,CAD
166002,1911023,440,2016-06-14,2016-06-14,USD
166003,1582145,500,2016-06-14,2016-06-14,USD
166004,1550223,560,2016-06-14,2016-06-14,USD
166005,1073805,360,2016-06-14,2016-06-14,GBP
166006,115173,10,2016-06-14,2016-06-14,AUD
166007,712588,280,2016-06-14,2016-06-14,EUR
167000,1086752,390,2016-06-15,2016-06-15,GBP
167001,408717,999999,2016-06-15,2016-06-19,EUR
167002,1736224,670,2016-06-15,2016-06-15,USD
167003,1414583,540,2016-06-15,2016-06-15,USD
167004,857270,340,2016-06-15,2016-06-15,EUR
167005,2052332,570,2016-06-15,2016-06-15,USD
167006,1106060,999999,2016-06-15,2016-06-30,GBP
167007,312207,100,2016-06-15,2016-06-15,CAD
167008,2080519,560,2016-06-15,2016-06-15,USD
167009,996149,400,2016-06-15,2016-06-15,GBP
167010,1806813,605,2016-06-15,2016-06-15,USD
168000,1836762,510,2016-06-16,2016-06-16,USD
168001,284843,100,2016-06-16,2016-06-16,CAD
168002,740825,300,2016-06-16,2016-06-16,EUR
168003,1454363,630,2016-06-16,2016-06-16,USD
168004,235360,999999,2016-06-16,2016-07-03,CAD
168005,1227775,590,2016-06-16,2016-06-16,USD
168006,1734356,470,2016-06-16,2016-06-16,USD
168007,1202185,999999,2016-06-16,2016-06-24,USD
168008,1066363,420,2016-06-16,2016-06-16,GBP
168009,381380,90,2016-06-16,2016-06-16,CAD
168010,1056727,420,2016-06-16,2016-06-16,GBP
168011,1067133,360,2016-06-16,2016-06-16,GBP
169000,1352155,470,2016-06-17,2016-06-17,USD
169001,596874,999999,2016-06-17,2016-06-24,EUR
169002,1420956,999999,2016-06-17,2016-06-26,USD
169003,1960404,650,2016-06-17,2016-06-17,USD
169004,1587613,530,2016-06-17,2016-06-17,USD
169005,1783327,650,2016-06-17,2016-06-17,USD
169006,2012095,530,2016-06-17,2016-06-17,USD
169007,1407156,590,2016-06-17,2016-06-17,USD
170000,1094719,360,2016-06-18,2016-06-18,GBP
170001,516201,220,2016-06-18,2016-06-18,EUR
170002,1462702,480,2016-06-18,2016-06-18,USD
170003,1959352,999999,2016-06-18,2016-07-04,USD
170004,1917017,610,2016-06-18,2016-06-18,USD
170005,1210516,585,2016-06-18,2016-06-18,USD
170006,1467666,670,2016-06-18,2016-06-18,USD
170007,1014165,390,2016-06-18,2016-06-18,GBP
170008,30443,35,2016-06-18,2016-06-18,AUD
170009,1732601,585,2016-06-18,2016-06-18,USD
170010,1365510,480,2016-06-18,2016-06-18,USD
170011,958092,380,2016-06-18,2016-06-18,GBP
170012,951058,360,2016-06-18,2016-06-18,GBP
170013,1625990,605,2016-06-18,2016-06-18,USD
172000,1813368,630,2016-06-20,2016-06-20,USD
172001,1959164,440,2016-06-20,2016-06-20,USD
172002,280072,999999,2016-06-20,2016-07-01,CAD
172003,489857,240,2016-06-20,2016-06-20,EUR
172004,1719998,670,2016-06-20,2016-06-20,USD
172005,265240,72,2016-06-20,2016-06-20,CAD
173000,775894,300,2016-06-21,2016-06-21,EUR
173001,1620931,630,2016-06-21,2016-06-21,USD
173002,441472,230,2016-06-21,2016-06-21,EUR
173003,314749,999999,2016-06-21,2016-06-27,CAD
173004,1683383,630,2016-06-21,2016-06-21,USD
173005,1511095,440,2016-06-21,2016-06-21,USD
173006,1948527,605,2016-06-21,2016-06-21,USD
173007,979726,420,2016-06-21,2016-06-21,GBP
174000,596241,240,2016-06-22,2016-06-22,EUR
174001,1739049,999999,2016-06-22,2016-07-02,USD
174002,886178,340,2016-06-22,2016-06-22,EUR
174003,1815786,585,2016-06-22,2016-06-22,USD
174004,1974895,470,2016-06-22,2016-06-22,USD
174005,1227178,610,2016-06-22,2016-06-22,USD
174006,2096056,530,2016-06-22,2016-06-22,USD
174007,294301,100,2016-06-22,2016-06-22,CAD
174008,1733008,465,2016-06-22,2016-06-22,USD
174009,949602,400,2016-06-22,2016-06-22,GBP
174010,2080347,999999,2016-06-22,2016-06-29,USD
175000,1352692,590,2016-06-23,2016-06-23,USD
175001,778847,290,2016-06-23,2016-06-23,EUR
175002,1686892,585,2016-06-23,2016-06-23,USD
175003,963155,370,2016-06-23,2016-06-23,GBP
175004,914418,380,2016-06-23,2016-06-23,GBP
175005,761672,280,2016-06-23,2016-06-23,EUR
175006,402895,200,2016-06-23,2016-06-23,EUR
175007,1155440,999999,2016-06-23,2016-07-03,GBP
175008,1105892,360,2016-06-23,2016-06-23,GBP
175009,754803,280,2016-06-23,2016-06-23,EUR
175010,1346658,500,2016-06-23,2016-06-23,USD
175011,1622174,585,2016-06-23,2016-06-23,USD
176000,1658792,999999,2016-06-24,2016-07-04,USD
176001,1389992,530,2016-06-24,2016-06-24,USD
176002,1265199,560,2016-06-24,2016-06-24,USD
176003,1443628,540,2016-06-24,2016-06-24,USD
176004,417706,999999,2016-06-24,2016-07-06,EUR
176005,1420432,500,2016-06-24,2016-06-24,USD
176006,751248,290,2016-06-24,2016-06-24,EUR
176007,1210052,585,2016-06-24,2016-06-24,USD
177000,1004043,370,2016-06-25,2016-06-25,GBP
177001,1778871,430,2016-06-25,2016-06-25,USD
177002,2017031,610,2016-06-25,2016-06-25,USD
177003,1268648,570,2016-06-25,2016-06-25,USD
177004,1940923,560,2016-06-25,2016-06-25,USD
177005,1674896,670,2016-06-25,2016-06-25,USD
177006,135497,60,2016-06-25,2016-06-25,AUD
177007,778847,290,2016-06-25,2016-06-25,EUR
177008,160147,60,2016-06-25,2016-06-25,AUD
177009,1708131,470,2016-06-25,2016-06-25,USD
177010,1901310,480,2016-06-25,2016-06-25,USD
177011,1401825,450,2016-06-25,2016-06-25,USD
177012,803499,330,2016-06-25,2016-06-25,EUR
177013,1438281,540,2016-06-25,2016-06-25,USD
177014,386729,72,2016-06-25,2016-06-25,CAD
179000,1839965,670,2016-06-27,2016-06-27,USD
179001,1414813,570,2016-06-27,2016-06-27,USD
179002,1545434,999999,2016-06-27,2016-07-06,USD
179003,1671907,670,2016-06-27,2016-06-27,USD
179004,1450093,430,2016-06-27,2016-06-27,USD
179005,300520,72,2016-06-27,2016-06-27,CAD
180000,1027767,410,2016-06-28,2016-06-28,GBP
180001,1220876,999999,2016-06-28,2016-07-03,USD
180002,1124864,410,2016-06-28,2016-06-28,GBP
180003,317033,90,2016-06-28,2016-06-28,CAD
180004,1185714,370,2016-06-28,2016-06-28,GBP
180005,554035,200,2016-06-28,2016-06-28,EUR
180006,1556156,510,2016-06-28,2016-06-28,USD
180007,823268,340,2016-06-28,2016-06-28,EUR
181000,203786,90,2016-06-29,2016-06-29,CAD
181001,947104,420,2016-06-29,2016-06-29,GBP
181002,964296,999999,2016-06-29,2016-07-06,GBP
181003,700034,280,2016-06-29,2016-06-29,EUR
181004,1230412,510,2016-06-29,2016-06-29,USD
181005,1184209,390,2016-06-29,2016-06-29,GBP
181006,50564,50,2016-06-29,2016-06-29,AUD
181007,1025147,360,2016-06-29,2016-06-29,GBP
181008,1657868,500,2016-06-29,2016-06-29,USD
181009,1058923,999999,2016-06-29,2016-07-11,GBP
181010,1646481,500,2016-06-29,2016-06-29,USD
182000,1800105,550,2016-06-30,2016-06-30,USD
182001,193846,60,2016-06-30,2016-06-30,AUD
182002,1916153,670,2016-06-30,2016-06-30,USD
182003,1743262,605,2016-06-30,2016-06-30,USD
182004,60035,50,2016-06-30,2016-06-30,AUD
182005,1051479,410,2016-06-30,2016-06-30,GBP
182006,2010268,500,2016-06-30,2016-06-30,USD
182007,1914776,530,2016-06-30,2016-06-30,USD
182008,273892,100,2016-06-30,2016-06-30,CAD
182009,821475,320,2016-06-30,2016-06-30,EUR
182010,1712918,450,2016-06-30,2016-06-30,USD
182011,498830,240,2016-06-30,2016-06-30,EUR
183000,748475,290,2016-07-01,2016-07-01,EUR
183001,990087,360,2016-07-01,2016-07-01,GBP
183002,268841,100,2016-07-01,2016-07-01,CAD
183003,1619866,470,2016-07-01,2016-07-01,USD
183004,1988674,470,2016-07-01,2016-07-01,USD
183005,285554,90,2016-07-01,2016-07-01,CAD
183006,2086048,590,2016-07-01,2016-07-01,USD
183007,1314070,450,2016-07-01,2016-07-01,USD
184000,570223,220,2016-07-02,2016-07-02,EUR
184001,1957916,450,2016-07-02,2016-07-02,USD
184002,2091394,540,2016-07-02,2016-07-02,USD
184003,1867797,430,2016-07-02,2016-07-02,USD
184004,1931165,550,2016-07-02,2016-07-02,USD
184005,1096256,400,2016-07-02,2016-07-02,GBP
184006,1820238,999999,2016-07-02,2016-07-14,USD
184007,77918,40,2016-07-02,2016-07-02,AUD
184008,1455101,450,2016-07-02,2016-07-02,USD
184009,1183900,360,2016-07-02,2016-07-02,GBP
184010,588502,999999,2016-07-02,2016-07-10,EUR
184011,1649538,585,2016-07-02,2016-07-02,USD
184012,622889,160,2016-07-02,2016-07-02,EUR
184013,1718343,530,2016-07-02,2016-07-02,USD
184014,1399890,450,2016-07-02,2016-07-02,USD
186000,1666980,440,2016-07-04,2016-07-04,USD
186001,1201899,650,2016-07-04,2016-07-04,USD
186002,1599641,500,2016-07-04,2016-07-04,USD
186003,1224618,480,2016-07-04,2016-07-04,USD
186004,1829145,560,2016-07-04,2016-07-04,USD
186005,1516813,470,2016-07-04,2016-07-04,USD
187000,926385,999999,2016-07-05,2016-07-14,GBP
187001,1488974,570,2016-07-05,2016-07-05,USD
187002,189159,50,2016-07-05,2016-07-05,AUD
187003,1782808,585,2016-07-05,2016-07-05,USD
187004,864145,310,2016-07-05,2016-07-05,EUR
187005,727439,300,2016-07-05,2016-07-05,EUR
187006,2021833,480,2016-07-05,2016-07-05,USD
187007,1444467,660,2016-07-05,2016-07-05,USD
188000,1732793,630,2016-07-06,2016-07-06,USD
188001,1582929,605,2016-07-06,2016-07-06,USD
188002,732367,280,2016-07-06,2016-07-06,EUR
188003,1804909,650,2016-07-06,2016-07-06,USD
188004,1761357,650,2016-07-06,2016-07-06,USD
188005,2087118,430,2016-07-06,2016-07-06,USD
188006,1654941,440,2016-07-06,2016-07-06,USD
188007,496035,230,2016-07-06,2016-07-06,EUR
188008,1045091,370,2016-07-06,2016-07-06,GBP
188009,2020369,530,2016-07-06,2016-07-06,USD
188010,603300,170,2016-07-06,2016-07-06,EUR
189000,1718324,590,2016-07-07,2016-07-07,USD
189001,261236,80,2016-07-07,2016-07-07,CAD
189002,1124349,999999,2016-07-07,2016-07-16,GBP
189003,1271490,650,2016-07-07,2016-07-07,USD
189004,344608,999999,2016-07-07,2016-07-19,CAD
189005,1253138,999999,2016-07-07,2016-07-17,USD
189006,634054,170,2016-07-07,2016-07-07,EUR
189007,916410,390,2016-07-07,2016-07-07,GBP
189008,1263482,500,2016-07-07,2016-07-07,USD
189009,1659195,670,2016-07-07,2016-07-07,USD
189010,725510,280,2016-07-07,2016-07-07,EUR
189011,580559,999999,2016-07-07,2016-07-15,EUR
190000,1099682,380,2016-07-08,2016-07-08,GBP
190001,1421785,470,2016-07-08,2016-07-08,USD
190002,1229823,530,2016-07-08,2016-07-08,USD
190003,839513,340,2016-07-08,2016-07-08,EUR
190004,1392163,540,2016-07-08,2016-07-08,USD
190005,1885888,480,2016-07-08,2016-07-08,USD
190006,824353,330,2016-07-08,2016-07-08,EUR
190007,1330127,999999,2016-07-08,2016-07-18,USD
191000,217295,80,2016-07-09,2016-07-09,CAD
191001,1776206,590,2016-07-09,2016-07-09,USD
191002,245659,999999,2016-07-09,2016-07-19,CAD
191003,2034991,430,2016-07-09,2016-07-09,USD
191004,939272,400,2016-07-09,2016-07-09,GBP
191005,1644531,440,2016-07-09,2016-07-09,USD
191006,1356893,605,2016-07-09,2016-07-09,USD
191007,1636324,670,2016-07-09,2016-07-09,USD
191008,2031348,500,2016-07-09,2016-07-09,USD
191009,2034630,670,2016-07-09,2016-07-09,USD
191010,1058947,370,2016-07-09,2016-07-09,GBP
191011,579911,200,2016-07-09,2016-07-09,EUR
191012,1803343,465,2016-07-09,2016-07-09,USD
191013,1455516,610,2016-07-09,2016-07-09,USD
191014,572241,240,2016-07-09,2016-07-09,EUR
193000,789206,280,2016-07-11,2016-07-11,EUR
193001,1474782,999999,2016-07-11,2016-07-20,USD
193002,580060,190,2016-07-11,2016-07-11,EUR
193003,488606,200,2016-07-11,2016-07-11,EUR
193004,1001599,360,2016-07-11,2016-07-11,GBP
193005,1190968,360,2016-07-11,2016-07-11,GBP
194000,444361,190,2016-07-12,2016-07-12,EUR
194001,73867,35,2016-07-12,2016-07-12,AUD
194002,2055844,660,2016-07-12,2016-07-12,USD
194003,696265,150,2016-07-12,2016-07-12,EUR
194004,1604535,590,2016-07-12,2016-07-12,USD
194005,270632,999999,2016-07-12,2016-07-22,CAD
194006,1958160,590,2016-07-12,2016-07-12,USD
194007,635938,140,2016-07-12,2016-07-12,EUR
195000,2050660,660,2016-07-13,2016-07-13,USD
195001,1250700,440,2016-07-13,2016-07-13,USD
195002,1320000,585,2016-07-13,2016-07-13,USD
195003,686472,999999,2016-07-13,2016-07-26,EUR
195004,373604,72,2016-07-13,2016-07-13,CAD
195005,314467,80,2016-07-13,2016-07-13,CAD
195006,1091634,380,2016-07-13,2016-07-13,GBP
195007,1536383,630,2016-07-13,2016-07-13,USD
195008,1461727,610,2016-07-13,2016-07-13,USD
195009,1441543,480,2016-07-13,2016-07-13,USD
195010,1457576,560,2016-07-13,2016-07-13,USD
196000,2020316,999999,2016-07-14,2016-07-22,USD
196001,1823219,610,2016-07-14,2016-07-14,USD
196002,1987843,480,2016-07-14,2016-07-14,USD
196003,399826,999999,2016-07-14,2016-07-25,CAD
196004,1931755,660,2016-07-14,2016-07-14,USD
196005,483708,999999,2016-07-14,2016-07-21,EUR
196006,1804147,570,2016-07-14,2016-07-14,USD
196007,958668,370,2016-07-14,2016-07-14,GBP
196008,766002,300,2016-07-14,2016-07-14,EUR
196009,1022176,400,2016-07-14,2016-07-14,GBP
196010,1198569,380,2016-07-14,2016-07-14,GBP
196011,1643102,530,2016-07-14,2016-07-14,USD
197000,687083,160,2016-07-15,2016-07-15,EUR
197001,2062646,999999,2016-07-15,2016-07-24,USD
197002,592464,255,2016-07-15,2016-07-15,EUR
197003,1248367,560,2016-07-15,2016-07-15,USD
197004,1347068,660,2016-07-15,2016-07-15,USD
197005,1780599,465,2016-07-15,2016-07-15,USD
197006,910724,400,2016-07-15,2016-07-15,GBP
197007,877679,310,2016-07-15,2016-07-15,EUR
198000,1962642,560,2016-07-16,2016-07-16,USD
198001,1689345,480,2016-07-16,2016-07-16,USD
198002,273778,72,2016-07-16,2016-07-16,CAD
198003,245941,80,2016-07-16,2016-07-16,CAD
198004,1694672,670,2016-07-16,2016-07-16,USD
198005,1848194,570,2016-07-16,2016-07-16,USD
198006,1751444,605,2016-07-16,2016-07-16,USD
198007,1512006,999999,2016-07-16,2016-07-24,USD
198008,1429612,550,2016-07-16,2016-07-16,USD
198009,1091947,999999,2016-07-16,2016-07-21,GBP
198010,217076,100,2016-07-16,2016-07-16,CAD
198011,182803,60,2016-07-16,2016-07-16,AUD
198012,76671,40,2016-07-16,2016-07-16,AUD
198013,714173,280,2016-07-16,2016-07-16,EUR
198014,824203,310,2016-07-16,2016-07-16,EUR
200000,1035649,380,2016-07-18,2016-07-18,GBP
200001,542839,230,2016-07-18,2016-07-18,EUR
200002,358919,90,2016-07-18,2016-07-18,CAD
200003,1106153,999999,2016-07-18,2016-07-24,GBP
200004,338164,72,2016-07-18,2016-07-18,CAD
200005,1260891,999999,2016-07-18,2016-07-26,USD
201000,385020,72,2016-07-19,2016-07-19,CAD
201001,916135,390,2016-07-19,2016-07-19,GBP
201002,1131336,390,2016-07-19,2016-07-19,GBP
201003,1185778,380,2016-07-19,2016-07-19,GBP
201004,1314796,465,2016-07-19,2016-07-19,USD
201005,931191,999999,2016-07-19,2016-07-27,GBP
201006,2050148,605,2016-07-19,2016-07-19,USD
201007,1872202,550,2016-07-19,2016-07-19,USD
202000,1864087,440,2016-07-20,2016-07-20,USD
202001,1899412,610,2016-07-20,2016-07-20,USD
202002,1328132,540,2016-07-20,2016-07-20,USD
202003,1010748,360,2016-07-20,2016-07-20,GBP
202004,496974,255,2016-07-20,2016-07-20,EUR
